QuerySId;SessionSId;UserSId;NoP;NoS;NoA;NoT;NoAtt;NCP;NCS;NCA;NCT;NCAtt;zNoP;zNoS;zNoA;zNoT;zNoAtt;zNCP;zNCF;zNCA;zNCT;zNCAtt;RED;Edit index;Jaccard index;Cosine index;Common fragments index;Common tables index;Vote;ExplorationSId;GroundTruth;ChangeSession
615;11;6;3;2;1;3;7;3;2;1;3;7;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.116442845;-0.442326484;-0.249101305;0.027568961;-0.0421322;3;0.7;0.75;0.987547890545264;0.9;0.75;0;12;0;0
616;11;6;3;2;1;3;7;2;1;1;2;4;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;6;0.4;0.5;0.975321304444756;0.6;0.5;1;12;0;0
617;11;6;2;1;1;2;4;1;1;0;2;3;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-1.705028807;-0.837177437;-1.183035795;7;0.3;0.363636363636364;0.957427107756338;0.4;0.5;1;12;0;0
618;11;6;2;1;1;2;4;1;1;0;2;3;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-1.705028807;-0.837177437;-1.183035795;4;0.6;0.5;1;0.4;0.5;1;12;0;0
619;11;6;2;1;1;2;4;1;0;1;1;1;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-0.249101305;-1.701923834;-1.753487593;6;0.4;0.333333333333333;0.901387818865997;0.3;0.25;1;12;0;0
620;11;6;2;1;1;2;4;1;1;0;2;3;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-1.705028807;-0.837177437;-1.183035795;4;0.6;0.5;0.901387818865997;0.4;0.5;1;12;0;0
621;11;6;3;2;1;3;7;0;0;0;1;0;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-2.250976299;-0.442326484;-1.705028807;-1.701923834;-2.038713492;13;0;0.0714285714285714;0.867527617235709;0.1;0.25;1;12;0;0
622;11;6;3;2;1;3;7;2;1;1;2;4;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;6;0.4;0.5;0.888336318148377;0.6;0.5;1;12;0;0
623;11;6;3;2;1;3;7;2;1;1;2;4;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;6;0.4;0.5;1;0.6;0.5;1;12;0;0
624;11;6;3;2;1;3;7;2;2;0;3;6;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-1.705028807;0.027568961;-0.327358099;4;0.6;0.636363636363636;0.963343294485566;0.7;0.75;1;12;0;0
625;11;6;2;1;1;2;4;2;1;1;2;4;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;3;0.7;0.666666666666667;0.954594154601839;0.6;0.5;1;12;0;0
626;11;6;2;1;1;2;4;0;0;0;1;0;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-2.250976299;-0.442326484;-1.705028807;-1.701923834;-2.038713492;10;0;0.0909090909090909;0.80903983495589;0.1;0.25;1;12;0;0
627;11;6;2;1;1;2;4;1;1;0;2;3;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-1.705028807;-0.837177437;-1.183035795;4;0.6;0.5;0.904534033733291;0.4;0.5;1;12;0;0
628;11;6;2;1;1;2;4;1;1;0;2;3;-1.42846569;-0.482180492;-0.575946454;-1.283331079;-1.383926238;-1.539465148;-0.442326484;-1.705028807;-0.837177437;-1.183035795;4;0.6;0.5;1;0.4;0.5;1;12;0;0
629;11;6;3;2;1;3;7;0;0;0;0;0;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-2.250976299;-0.442326484;-1.705028807;-2.566670231;-2.038713492;15;0;0;0.78192905271403;0;0;1;13;1;0
630;11;6;3;2;1;3;7;2;1;1;2;4;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;6;0.4;0.5;0.834847109936722;0.6;0.5;1;13;0;0
631;11;6;4;3;1;4;10;3;2;1;3;7;0.332092548;-0.482180492;-0.575946454;0.721008415;0.600744206;-0.116442845;-0.442326484;-0.249101305;0.027568961;-0.0421322;3;0.7;0.75;0.99321708930132;0.9;0.75;0;13;0;0
632;11;6;3;2;1;3;7;3;2;1;3;7;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.116442845;-0.442326484;-0.249101305;0.027568961;-0.0421322;3;0.7;0.75;0.987547890545264;0.9;0.75;0;13;0;0
633;11;6;3;2;1;3;7;2;1;1;2;4;-0.548186571;-0.482180492;-0.575946454;-0.281161332;-0.391591016;-0.827953997;-0.442326484;-0.249101305;-0.837177437;-0.897809896;6;0.4;0.5;0.975321304444756;0.6;0.5;1;13;0;0
