exploration48	0,48|604,48|605,48|606,48|607,48|608,48|609,48|610,48|611,48|612,48|613,48|614,48|615,48|616,48|617,48|618,48|619,48|620,48|621,48|622,48|623,48|624,48|625,48|626,48|627,48|628,48|629,48|630,48|631,48|632,48|633,48|634,48|635,48|636,48|637,48|638,48|639,48|640,48|641,48|642,48|643,48|644,48|645,48|646,48|647,48|648,48|649,48|650,48|651,48|652,48|653,48|
exploration49	0,49|654,49|655,49|
exploration50	0,50|656,50|657,50|658,50|659,50|660,50|661,50|662,50|663,50|664,50|665,50|666,50|667,50|668,50|669,50|670,50|671,50|672,50|673,50|674,50|675,50|676,50|677,50|678,50|679,50|680,50|681,50|682,50|683,50|684,50|685,50|686,50|687,50|688,50|689,50|690,50|691,50|692,50|693,50|694,50|695,50|696,50|697,50|698,50|699,50|700,50|701,50|702,50|703,50|704,50|705,50|706,50|707,50|708,50|709,50|710,50|711,50|712,50|713,50|714,50|715,50|716,50|717,50|718,50|719,50|720,50|721,50|722,50|
exploration51	0,51|723,51|724,51|725,51|726,51|727,51|728,51|729,51|730,51|731,51|
exploration52	0,52|732,52|733,52|734,52|735,52|736,52|737,52|738,52|739,52|740,52|741,52|742,52|743,52|744,52|745,52|746,52|747,52|748,52|749,52|750,52|751,52|752,52|753,52|754,52|755,52|756,52|757,52|758,52|759,52|760,52|761,52|762,52|763,52|764,52|765,52|766,52|767,52|768,52|769,52|770,52|772,52|773,52|774,52|775,52|776,52|777,52|778,52|779,52|780,52|781,52|782,52|783,52|784,52|785,52|786,52|787,52|788,52|789,52|790,52|791,52|792,52|793,52|794,52|795,52|796,52|797,52|798,52|799,52|800,52|801,52|802,52|803,52|804,52|805,52|806,52|807,52|808,52|809,52|810,52|811,52|812,52|813,52|814,52|815,52|816,52|817,52|818,52|819,52|820,52|821,52|822,52|823,52|824,52|825,52|826,52|827,52|828,52|829,52|830,52|831,52|832,52|833,52|834,52|835,52|836,52|837,52|838,52|839,52|840,52|841,52|842,52|843,52|844,52|845,52|846,52|847,52|848,52|849,52|850,52|851,52|852,52|853,52|854,52|855,52|856,52|857,52|858,52|859,52|860,52|861,52|862,52|863,52|864,52|865,52|866,52|867,52|868,52|869,52|870,52|871,52|872,52|873,52|874,52|875,52|876,52|877,52|878,52|879,52|880,52|881,52|882,52|883,52|884,52|885,52|886,52|887,52|888,52|889,52|890,52|891,52|892,52|893,52|894,52|895,52|896,52|897,52|898,52|899,52|900,52|901,52|902,52|903,52|904,52|905,52|906,52|907,52|908,52|909,52|910,52|911,52|912,52|913,52|914,52|915,52|916,52|917,52|918,52|919,52|920,52|921,52|922,52|923,52|924,52|925,52|926,52|927,52|928,52|929,52|930,52|931,52|932,52|933,52|934,52|935,52|936,52|937,52|938,52|939,52|940,52|941,52|942,52|943,52|944,52|945,52|946,52|947,52|948,52|949,52|950,52|951,52|952,52|953,52|954,52|955,52|956,52|957,52|958,52|963,52|964,52|965,52|966,52|967,52|968,52|969,52|970,52|971,52|972,52|973,52|974,52|975,52|976,52|977,52|978,52|979,52|980,52|981,52|982,52|983,52|984,52|985,52|986,52|987,52|988,52|989,52|990,52|991,52|992,52|993,52|994,52|995,52|996,52|997,52|998,52|999,52|1000,52|1001,52|1002,52|1003,52|1004,52|1005,52|1006,52|1007,52|1008,52|1009,52|1010,52|1011,52|1012,52|1013,52|1014,52|1015,52|1016,52|1017,52|1018,52|1019,52|1020,52|1021,52|1022,52|1023,52|1024,52|1025,52|1026,52|1027,52|1028,52|1029,52|1030,52|1031,52|1032,52|1033,52|1034,52|1035,52|1036,52|1037,52|1038,52|1039,52|1040,52|1041,52|1042,52|1043,52|1044,52|1045,52|1046,52|1047,52|1048,52|1049,52|1050,52|1051,52|1052,52|1053,52|1054,52|1055,52|1056,52|1057,52|1058,52|1059,52|1060,52|1061,52|1062,52|1063,52|1064,52|1065,52|1066,52|1067,52|1068,52|1069,52|1070,52|1071,52|1072,52|1073,52|1074,52|1075,52|1076,52|1077,52|1078,52|1079,52|1080,52|1081,52|1082,52|1083,52|1084,52|1085,52|1086,52|1087,52|1088,52|1089,52|1090,52|1091,52|1092,52|1093,52|1094,52|1095,52|1096,52|1097,52|1098,52|1099,52|1100,52|1101,52|1102,52|
exploration53	0,53|1103,53|
exploration54	0,54|1104,54|1105,54|1106,54|1107,54|1108,54|1109,54|1110,54|1111,54|1112,54|1113,54|
exploration55	0,55|1114,55|1115,55|
exploration56	0,56|1116,56|1117,56|1118,56|1119,56|1120,56|1121,56|1122,56|1123,56|1124,56|1125,56|1126,56|1127,56|1128,56|1129,56|1130,56|1131,56|1132,56|1133,56|1134,56|1135,56|1136,56|1137,56|1138,56|1139,56|1140,56|1141,56|1142,56|1143,56|1144,56|1145,56|1146,56|1147,56|1148,56|1149,56|1150,56|1151,56|1152,56|1153,56|1154,56|1155,56|1156,56|1157,56|1158,56|1159,56|1160,56|1161,56|1162,56|1163,56|1164,56|1165,56|1166,56|1167,56|1168,56|1169,56|1170,56|1171,56|1172,56|1173,56|1174,56|1175,56|1176,56|1177,56|1178,56|1179,56|1180,56|1181,56|1182,56|1183,56|1184,56|1185,56|1186,56|1187,56|1188,56|1189,56|1190,56|1191,56|1192,56|1193,56|1194,56|1195,56|1199,56|1200,56|1203,56|1204,56|1205,56|1206,56|1207,56|1208,56|1213,56|1215,56|1216,56|1217,56|1218,56|1219,56|1220,56|1221,56|1222,56|1223,56|1224,56|1225,56|1226,56|1227,56|1228,56|1229,56|1230,56|1231,56|1232,56|1233,56|1234,56|1235,56|1236,56|1237,56|1238,56|1239,56|1240,56|1241,56|1242,56|1243,56|1244,56|
exploration57	0,57|1245,57|
exploration58	0,58|1246,58|
exploration59	0,59|1247,59|1248,59|1249,59|1250,59|1251,59|1252,59|1253,59|1254,59|
