QuerySId;SessionSid;UsersId;NoP;NoS;NoA;NoT;NoAtt;NCP;NCS;NCA;NCT;NCAtt;zNoP;zNoS;zNoA;zNoT;zNoAtt;zNCP;zNCF;zNCA;zNCT;zNCAtt;NoQ;Length;RED;Edit index;Jackard index;Cosine index;Common fragments index;Common tables index;vote;ExplorationSid
82;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;197;2;0.8;0.833333333333333;1;1;0.333333333333333;1;8
83;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;195;2;0.8;0.833333333333333;1;1;0.333333333333333;1;8
84;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;195;2;0.8;0.833333333333333;1;1;0.333333333333333;1;8
85;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;197;2;0.8;0.833333333333333;1;1;0.333333333333333;1;8
86;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;217;2;0.8;0.833333333333333;1;1;0.333333333333333;1;8
87;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;224;2;0.8;0.833333333333333;1;1;0.333333333333333;1;8
88;2;354;9;1;0;1;9;8;1;0;1;9;0.050626218655638;-0.060551143590089;-0.19697466640804;-0.151709551430603;0.532076078925131;0.207289308618301;0.207884726246477;-0.187678161841789;0.070762727156789;1.12331006538634;;203;2;0.8;0.833333333333333;1;1;0.333333333333333;1;8
89;2;354;2;2;1;2;8;0;0;0;0;0;-0.264289525145146;0.262590227004742;0.307545319484149;0.151994238147492;0.407102221949563;-0.249038042669367;-0.302991629339198;-0.187678161841789;-0.416267449171356;-0.556092706302749;;393;18;0;0;0.499870917772471;0;0;0;9
90;2;354;2;2;1;2;8;1;2;1;2;8;-0.264289525145146;0.262590227004742;0.307545319484149;0.151994238147492;0.407102221949563;-0.191997123758408;0.718761081832151;0.735823051501478;0.557792903484934;0.936709757420886;;376;2;0.8;0.75;0.751809411556112;0.6;0.666666666666667;1;9
91;2;354;10;0;0;1;9;0;0;0;0;0;0.09561418205575;-0.383692514184919;-0.19697466640804;-0.151709551430603;0.532076078925131;-0.249038042669367;-0.302991629339198;-0.187678161841789;-0.416267449171356;-0.556092706302749;;492;18;0;0;0.456455112699595;0;0;0;10
