exploration11	0,11|548,11|549,11|550,11|551,11|552,11|553,11|554,11|555,11|556,11|557,11|558,11|559,11|560,11|561,11|562,11|563,11|564,11|565,11|566,11|567,11|568,11|569,11|570,11|571,11|572,11|573,11|574,11|575,11|576,11|577,11|578,11|579,11|580,11|581,11|582,11|583,11|584,11|585,11|586,11|587,11|588,11|589,11|590,11|591,11|592,11|593,11|594,11|595,11|596,11|597,11|598,11|599,11|600,11|601,11|602,11|603,11|604,11|605,11|606,11|607,11|608,11|609,11|610,11|611,11|612,11|613,11|614,11|615,11|616,11|617,11|618,11|619,11|620,11|621,11|622,11|623,11|624,11|625,11|626,11|627,11|628,11|629,11|630,11|631,11|632,11|633,11|634,11|635,11|636,11|637,11|638,11|639,11|640,11|641,11|642,11|643,11|644,11|645,11|646,11|
exploration12	0,12|647,12|648,12|649,12|650,12|651,12|652,12|653,12|654,12|655,12|656,12|657,12|658,12|659,12|660,12|661,12|662,12|663,12|664,12|665,12|666,12|667,12|668,12|669,12|670,12|671,12|672,12|673,12|674,12|675,12|676,12|677,12|678,12|679,12|680,12|681,12|682,12|683,12|684,12|685,12|686,12|687,12|688,12|689,12|690,12|691,12|692,12|693,12|694,12|695,12|696,12|697,12|698,12|699,12|700,12|701,12|702,12|703,12|704,12|705,12|706,12|707,12|708,12|709,12|710,12|711,12|712,12|713,12|714,12|715,12|716,12|717,12|718,12|719,12|720,12|721,12|722,12|723,12|724,12|725,12|726,12|727,12|728,12|729,12|730,12|731,12|732,12|733,12|734,12|735,12|736,12|737,12|738,12|739,12|740,12|741,12|742,12|
exploration13	0,13|743,13|744,13|745,13|746,13|747,13|748,13|749,13|750,13|751,13|752,13|753,13|754,13|755,13|756,13|757,13|758,13|759,13|760,13|761,13|762,13|763,13|764,13|765,13|766,13|767,13|768,13|769,13|770,13|771,13|772,13|773,13|774,13|775,13|776,13|777,13|778,13|779,13|780,13|781,13|782,13|783,13|784,13|785,13|786,13|787,13|788,13|789,13|790,13|791,13|792,13|793,13|
exploration14	0,14|794,14|795,14|796,14|797,14|798,14|799,14|800,14|801,14|802,14|803,14|804,14|805,14|806,14|807,14|808,14|809,14|810,14|811,14|812,14|813,14|814,14|815,14|816,14|817,14|818,14|819,14|820,14|821,14|822,14|823,14|824,14|825,14|826,14|827,14|828,14|829,14|830,14|831,14|832,14|833,14|834,14|835,14|836,14|837,14|838,14|839,14|840,14|841,14|842,14|843,14|844,14|845,14|846,14|847,14|848,14|849,14|850,14|851,14|852,14|853,14|854,14|855,14|856,14|857,14|858,14|859,14|860,14|861,14|862,14|863,14|864,14|865,14|866,14|867,14|
exploration15	0,15|868,15|869,15|870,15|871,15|872,15|873,15|874,15|875,15|876,15|877,15|878,15|879,15|880,15|881,15|882,15|883,15|884,15|885,15|886,15|887,15|888,15|889,15|890,15|891,15|892,15|893,15|894,15|895,15|896,15|897,15|898,15|899,15|900,15|901,15|902,15|903,15|904,15|905,15|906,15|907,15|908,15|909,15|910,15|911,15|912,15|913,15|914,15|915,15|916,15|917,15|918,15|919,15|920,15|921,15|922,15|923,15|
exploration16	0,16|924,16|925,16|926,16|927,16|928,16|929,16|930,16|931,16|932,16|933,16|934,16|935,16|936,16|937,16|938,16|939,16|940,16|941,16|
exploration17	0,17|942,17|943,17|944,17|945,17|946,17|947,17|948,17|949,17|950,17|951,17|952,17|953,17|954,17|955,17|956,17|957,17|958,17|959,17|960,17|961,17|962,17|963,17|964,17|965,17|966,17|967,17|968,17|
exploration18	0,18|969,18|
exploration19	0,19|970,19|971,19|972,19|973,19|974,19|975,19|976,19|977,19|978,19|979,19|980,19|981,19|982,19|983,19|984,19|985,19|986,19|987,19|988,19|989,19|990,19|991,19|992,19|993,19|994,19|995,19|996,19|997,19|998,19|999,19|1000,19|1001,19|
exploration20	0,20|1002,20|1003,20|1004,20|1005,20|1006,20|1007,20|1008,20|1009,20|1010,20|1011,20|1012,20|1013,20|1014,20|1015,20|1016,20|1017,20|1018,20|1019,20|1020,20|1021,20|1022,20|1023,20|1024,20|1025,20|1026,20|1027,20|1028,20|1029,20|1030,20|1031,20|
exploration21	0,21|1032,21|1033,21|1034,21|1035,21|1036,21|1037,21|1038,21|1039,21|1040,21|1041,21|1042,21|1043,21|1044,21|1045,21|1046,21|1047,21|1048,21|1049,21|1050,21|1051,21|1052,21|1053,21|1054,21|1055,21|
exploration22	0,22|1056,22|1057,22|1058,22|1059,22|1060,22|
exploration23	0,23|1061,23|1062,23|1063,23|1064,23|1065,23|1066,23|1067,23|
exploration24	0,24|1068,24|1069,24|1070,24|1071,24|1072,24|1073,24|1074,24|1075,24|1076,24|1077,24|1078,24|1079,24|1080,24|1081,24|1082,24|1083,24|1084,24|1085,24|1086,24|1087,24|1088,24|1089,24|1090,24|1091,24|1092,24|1093,24|1094,24|1095,24|1096,24|1097,24|1098,24|1099,24|1100,24|1101,24|1102,24|1103,24|1104,24|1105,24|
exploration25	0,25|1106,25|1107,25|1108,25|1109,25|1110,25|1111,25|1112,25|1113,25|1114,25|1115,25|1116,25|1117,25|1118,25|1119,25|1120,25|1121,25|1122,25|1123,25|1124,25|1125,25|1126,25|1127,25|1128,25|1129,25|1130,25|1131,25|1132,25|1133,25|1134,25|1135,25|1136,25|1137,25|1138,25|1139,25|1140,25|1141,25|1142,25|1143,25|1144,25|1145,25|1146,25|1147,25|1148,25|1149,25|1150,25|
exploration26	0,26|1151,26|
exploration27	0,27|1152,27|1153,27|1154,27|
exploration28	0,28|1155,28|1156,28|1157,28|1158,28|1159,28|1160,28|1161,28|1162,28|1163,28|1164,28|1165,28|1166,28|1167,28|1168,28|1169,28|1170,28|1171,28|1172,28|1173,28|1174,28|1175,28|1176,28|1177,28|1178,28|1179,28|1180,28|1181,28|1182,28|1183,28|1184,28|1185,28|1186,28|1187,28|1188,28|1189,28|1190,28|1191,28|1192,28|1193,28|1194,28|1195,28|1196,28|1197,28|1198,28|1199,28|1200,28|1201,28|1202,28|1203,28|1204,28|1205,28|1206,28|1207,28|1208,28|1209,28|1210,28|1211,28|1212,28|1213,28|1214,28|1215,28|1216,28|1217,28|1218,28|1219,28|1220,28|1221,28|1222,28|1223,28|1224,28|1225,28|1226,28|1227,28|1228,28|1229,28|1230,28|1231,28|1232,28|1233,28|1234,28|1235,28|1236,28|1237,28|1238,28|1239,28|1240,28|1241,28|1242,28|1243,28|1244,28|1245,28|1246,28|1247,28|1248,28|1249,28|1250,28|1251,28|1252,28|1253,28|1254,28|1255,28|1256,28|1257,28|
exploration29	0,29|1258,29|1259,29|
exploration30	0,30|1260,30|1261,30|1262,30|1263,30|1264,30|1265,30|1266,30|1267,30|1268,30|
exploration31	0,31|1269,31|1270,31|1271,31|1272,31|
exploration32	0,32|1273,32|
exploration33	0,33|1274,33|1275,33|1276,33|1277,33|1278,33|1279,33|1280,33|1281,33|1282,33|1283,33|1284,33|1285,33|1286,33|1287,33|1288,33|1289,33|1290,33|1291,33|1292,33|1293,33|1294,33|1295,33|1296,33|1297,33|1298,33|1299,33|1300,33|1301,33|1302,33|1303,33|1304,33|1305,33|1306,33|1307,33|
